Numéro de boucle;Libellé;Jour;Total
988;Kennedy vers Est;2022-05-08;503
996;Van Iseghem vers Nord;2022-05-08;625
997;Van Iseghem vers Sud;2022-05-08;581
1041;;2022-05-08;91
9673;;2022-05-08;455
683;pont Anne de Bretagne vers Nord;2022-05-08;576
745;Calvaire vers Ouest;2022-05-08;65
949;avenue de la Libération vers Sud;2022-05-08;121
987;Tremie vers Est;2022-05-08;57
995;Ceineray vers Ouest;2022-05-08;596
664;Bonduelle vers sud;2022-05-08;713
665;Bonduelle vers Nord;2022-05-07;669
669;De Gaulle sortie Clémenceau vers Nord;2022-05-07;412
674;Pont Haudaudine vers Sud;2022-05-07;580
683;pont Anne de Bretagne vers Nord;2022-05-07;568
745;Calvaire vers Ouest;2022-05-07;133
785;50 Otages Vers Sud;2022-05-07;2493
880;Madeleine vers Nord;2022-05-07;1682
950;avenue de la Libération vers Nord;2022-05-07;373
986;Tremie vers Ouest;2022-05-07;232
747;Chemin de halage Tortière vers Nord;2022-05-07;506
890;Pont de Pirmil vers Sud;2022-05-07;2094
943;Magellan vers Ouest;2022-05-07;158
959;Sorinières Vers Sud;2022-05-07;43
960;Sorinières Vers Nord;2022-05-07;31
989;Kennedy vers Ouest;2022-05-07;866
1055;;2022-05-07;0
1056;;2022-05-07;0
9998;;2022-05-07;631
668;De Gaulle vers sud;2022-05-07;452
672;Pont de Pornic vers Nord;2022-05-07;411
664;Bonduelle vers sud;2022-05-07;673
666;Pont Audibert vers Sud;2022-05-07;151
667;Entrée pont Audibert vers Nord;2022-05-07;2188
725;Pont Tabarly vers Sud;2022-05-07;303
746;Chemin de halage Tortière vers Sud;2022-05-07;539
786;50 Otages Vers Nord;2022-05-07;2359
944;Magellan vers Est;2022-05-07;230
988;Kennedy vers Est;2022-05-07;488
995;Ceineray vers Ouest;2022-05-07;705
9672;;2022-05-07;494
979;3 Continents vers Sud;2022-05-07;532
981;Pont Tabarly vers Nord;2022-05-07;109
8672;;2022-05-07;422
9673;;2022-05-07;512
673;Pont de Pornic vers Sud;2022-05-07;412
681;Stalingrad vers est;2022-05-07;547
682;pont Anne de Bretagne vers Sud;2022-05-07;861
727;Pont Tabarly vers Nord;2022-05-07;310
743;Philippot vers ouest;2022-05-07;1010
679;Bd Malakoff vers Gare Sud;2022-05-07;65
787;50 Otages Vers Sud;2022-05-07;1679
948;Bd Malakoff vers Est;2022-05-07;273
987;Tremie vers Est;2022-05-07;121
1054;;2022-05-07;0
9999;;2022-05-07;333
675;Pont Haudaudine vers Nord;2022-05-07;681
677;Pont Willy Brandt vers Malakoff;2022-05-07;268
680;Stalingrad vers ouest;2022-05-07;585
945;Magellan vers Ouest;2022-05-07;481
946;Magellan vers Est;2022-05-07;624
947;Bd Malakoff vers Ouest;2022-05-07;301
980;Pont Tabarly vers Sud;2022-05-07;65
996;Van Iseghem vers Nord;2022-05-07;605
788;50 Otages Vers Nord;2022-05-07;1766
1041;;2022-05-07;115
1042;;2022-05-07;108
1057;;2022-05-07;0
8673;;2022-05-07;299
670;Pont de Pirmil vers Sud;2022-05-07;343
676;Pont Willy Brandt vers Beaulieu;2022-05-07;301
742;Philippot vers Est;2022-05-07;1198
744;Calvaire vers Est;2022-05-07;576
847;Entrée pont Audibert vers Sud;2022-05-07;2016
881;Madeleine vers Sud;2022-05-07;1885
949;avenue de la Libération vers Sud;2022-05-07;157
977;3 Continents vers Nord;2022-05-07;591
994;Ceineray vers Est;2022-05-07;602
997;Van Iseghem vers Sud;2022-05-07;570
675;Pont Haudaudine vers Nord;2022-05-06;1132
745;Calvaire vers Ouest;2022-05-06;172
881;Madeleine vers Sud;2022-05-06;2982
890;Pont de Pirmil vers Sud;2022-05-06;4238
959;Sorinières Vers Sud;2022-05-06;124
994;Ceineray vers Est;2022-05-06;935
1054;;2022-05-06;0
8672;;2022-05-06;860
785;50 Otages Vers Sud;2022-05-06;4216
9998;;2022-05-06;862
668;De Gaulle vers sud;2022-05-06;1038
672;Pont de Pornic vers Nord;2022-05-06;998
679;Bd Malakoff vers Gare Sud;2022-05-06;102
682;pont Anne de Bretagne vers Sud;2022-05-06;1527
742;Philippot vers Est;2022-05-06;1949
787;50 Otages Vers Sud;2022-05-06;2548
880;Madeleine vers Nord;2022-05-06;2653
948;Bd Malakoff vers Est;2022-05-06;534
950;avenue de la Libération vers Nord;2022-05-06;723
960;Sorinières Vers Nord;2022-05-06;81
987;Tremie vers Est;2022-05-06;196
988;Kennedy vers Est;2022-05-06;1006
989;Kennedy vers Ouest;2022-05-06;1609
995;Ceineray vers Ouest;2022-05-06;1339
997;Van Iseghem vers Sud;2022-05-06;996
8673;;2022-05-06;575
746;Chemin de halage Tortière vers Sud;2022-05-06;969
980;Pont Tabarly vers Sud;2022-05-06;62
996;Van Iseghem vers Nord;2022-05-06;1043
677;Pont Willy Brandt vers Malakoff;2022-05-06;705
683;pont Anne de Bretagne vers Nord;2022-05-06;1047
669;De Gaulle sortie Clémenceau vers Nord;2022-05-06;1008
673;Pont de Pornic vers Sud;2022-05-06;943
676;Pont Willy Brandt vers Beaulieu;2022-05-06;761
727;Pont Tabarly vers Nord;2022-05-06;561
786;50 Otages Vers Nord;2022-05-06;3945
847;Entrée pont Audibert vers Sud;2022-05-06;3435
943;Magellan vers Ouest;2022-05-06;281
945;Magellan vers Ouest;2022-05-06;964
986;Tremie vers Ouest;2022-05-06;346
1056;;2022-05-06;0
9999;;2022-05-06;460
665;Bonduelle vers Nord;2022-05-06;1250
666;Pont Audibert vers Sud;2022-05-06;306
680;Stalingrad vers ouest;2022-05-06;850
788;50 Otages Vers Nord;2022-05-06;2655
944;Magellan vers Est;2022-05-06;395
947;Bd Malakoff vers Ouest;2022-05-06;495
979;3 Continents vers Sud;2022-05-06;634
981;Pont Tabarly vers Nord;2022-05-06;162
667;Entrée pont Audibert vers Nord;2022-05-06;3822
725;Pont Tabarly vers Sud;2022-05-06;599
743;Philippot vers ouest;2022-05-06;1652
744;Calvaire vers Est;2022-05-06;968
949;avenue de la Libération vers Sud;2022-05-06;284
977;3 Continents vers Nord;2022-05-06;787
1055;;2022-05-06;0
1057;;2022-05-06;0
664;Bonduelle vers sud;2022-05-06;1314
670;Pont de Pirmil vers Sud;2022-05-06;528
674;Pont Haudaudine vers Sud;2022-05-06;996
681;Stalingrad vers est;2022-05-06;860
747;Chemin de halage Tortière vers Nord;2022-05-06;899
946;Magellan vers Est;2022-05-06;1182
1041;;2022-05-06;301
1042;;2022-05-06;312
9672;;2022-05-06;1081
9673;;2022-05-06;1056
786;50 Otages Vers Nord;2022-05-05;3722
944;Magellan vers Est;2022-05-05;399
1057;;2022-05-05;0
787;50 Otages Vers Sud;2022-05-05;2488
881;Madeleine vers Sud;2022-05-05;2728
947;Bd Malakoff vers Ouest;2022-05-05;527
959;Sorinières Vers Sud;2022-05-05;112
987;Tremie vers Est;2022-05-05;217
9999;;2022-05-05;453
670;Pont de Pirmil vers Sud;2022-05-05;458
674;Pont Haudaudine vers Sud;2022-05-05;1073
676;Pont Willy Brandt vers Beaulieu;2022-05-05;871
677;Pont Willy Brandt vers Malakoff;2022-05-05;762
667;Entrée pont Audibert vers Nord;2022-05-05;3608
683;pont Anne de Bretagne vers Nord;2022-05-05;1088
727;Pont Tabarly vers Nord;2022-05-05;628
847;Entrée pont Audibert vers Sud;2022-05-05;3336
950;avenue de la Libération vers Nord;2022-05-05;695
989;Kennedy vers Ouest;2022-05-05;1544
1055;;2022-05-05;0
890;Pont de Pirmil vers Sud;2022-05-05;3515
946;Magellan vers Est;2022-05-05;1192
949;avenue de la Libération vers Sud;2022-05-05;275
981;Pont Tabarly vers Nord;2022-05-05;171
994;Ceineray vers Est;2022-05-05;895
995;Ceineray vers Ouest;2022-05-05;1377
1056;;2022-05-05;0
8673;;2022-05-05;623
9998;;2022-05-05;839
668;De Gaulle vers sud;2022-05-05;1028
669;De Gaulle sortie Clémenceau vers Nord;2022-05-05;1060
672;Pont de Pornic vers Nord;2022-05-05;1089
679;Bd Malakoff vers Gare Sud;2022-05-05;99
742;Philippot vers Est;2022-05-05;1901
943;Magellan vers Ouest;2022-05-05;308
960;Sorinières Vers Nord;2022-05-05;72
988;Kennedy vers Est;2022-05-05;1113
9673;;2022-05-05;1142
665;Bonduelle vers Nord;2022-05-05;1291
680;Stalingrad vers ouest;2022-05-05;791
681;Stalingrad vers est;2022-05-05;723
682;pont Anne de Bretagne vers Sud;2022-05-05;1573
743;Philippot vers ouest;2022-05-05;1670
744;Calvaire vers Est;2022-05-05;834
747;Chemin de halage Tortière vers Nord;2022-05-05;970
785;50 Otages Vers Sud;2022-05-05;3948
788;50 Otages Vers Nord;2022-05-05;2411
880;Madeleine vers Nord;2022-05-05;2551
945;Magellan vers Ouest;2022-05-05;1099
977;3 Continents vers Nord;2022-05-05;719
980;Pont Tabarly vers Sud;2022-05-05;59
996;Van Iseghem vers Nord;2022-05-05;1189
997;Van Iseghem vers Sud;2022-05-05;1098
9672;;2022-05-05;1200
725;Pont Tabarly vers Sud;2022-05-05;635
745;Calvaire vers Ouest;2022-05-05;171
746;Chemin de halage Tortière vers Sud;2022-05-05;1062
948;Bd Malakoff vers Est;2022-05-05;512
979;3 Continents vers Sud;2022-05-05;615
986;Tremie vers Ouest;2022-05-05;409
1041;;2022-05-05;328
673;Pont de Pornic vers Sud;2022-05-05;985
675;Pont Haudaudine vers Nord;2022-05-05;1148
1042;;2022-05-05;333
1054;;2022-05-05;0
8672;;2022-05-05;893
664;Bonduelle vers sud;2022-05-05;1491
666;Pont Audibert vers Sud;2022-05-05;287
667;Entrée pont Audibert vers Nord;2022-05-04;3327
674;Pont Haudaudine vers Sud;2022-05-04;943
950;avenue de la Libération vers Nord;2022-05-04;588
986;Tremie vers Ouest;2022-05-04;390
1042;;2022-05-04;287
9673;;2022-05-04;996
787;50 Otages Vers Sud;2022-05-04;2270
788;50 Otages Vers Nord;2022-05-04;2278
890;Pont de Pirmil vers Sud;2022-05-04;3244
977;3 Continents vers Nord;2022-05-04;740
987;Tremie vers Est;2022-05-04;231
989;Kennedy vers Ouest;2022-05-04;1416
995;Ceineray vers Ouest;2022-05-04;1246
669;De Gaulle sortie Clémenceau vers Nord;2022-05-04;1015
681;Stalingrad vers est;2022-05-04;693
725;Pont Tabarly vers Sud;2022-05-04;577
743;Philippot vers ouest;2022-05-04;1416
677;Pont Willy Brandt vers Malakoff;2022-05-04;654
680;Stalingrad vers ouest;2022-05-04;727
682;pont Anne de Bretagne vers Sud;2022-05-04;1399
742;Philippot vers Est;2022-05-04;1565
880;Madeleine vers Nord;2022-05-04;2373
944;Magellan vers Est;2022-05-04;443
946;Magellan vers Est;2022-05-04;1106
745;Calvaire vers Ouest;2022-05-04;228
747;Chemin de halage Tortière vers Nord;2022-05-04;905
785;50 Otages Vers Sud;2022-05-04;3611
881;Madeleine vers Sud;2022-05-04;2605
947;Bd Malakoff vers Ouest;2022-05-04;482
996;Van Iseghem vers Nord;2022-05-04;1101
9672;;2022-05-04;1116
664;Bonduelle vers sud;2022-05-04;1292
665;Bonduelle vers Nord;2022-05-04;1180
676;Pont Willy Brandt vers Beaulieu;2022-05-04;797
847;Entrée pont Audibert vers Sud;2022-05-04;2994
943;Magellan vers Ouest;2022-05-04;270
948;Bd Malakoff vers Est;2022-05-04;497
981;Pont Tabarly vers Nord;2022-05-04;140
1055;;2022-05-04;0
9999;;2022-05-04;411
683;pont Anne de Bretagne vers Nord;2022-05-04;982
786;50 Otages Vers Nord;2022-05-04;3587
959;Sorinières Vers Sud;2022-05-04;87
960;Sorinières Vers Nord;2022-05-04;76
980;Pont Tabarly vers Sud;2022-05-04;69
994;Ceineray vers Est;2022-05-04;832
997;Van Iseghem vers Sud;2022-05-04;1001
1041;;2022-05-04;279
1056;;2022-05-04;0
1057;;2022-05-04;0
672;Pont de Pornic vers Nord;2022-05-04;1037
679;Bd Malakoff vers Gare Sud;2022-05-04;110
727;Pont Tabarly vers Nord;2022-05-04;586
744;Calvaire vers Est;2022-05-04;815
979;3 Continents vers Sud;2022-05-04;612
8672;;2022-05-04;769
668;De Gaulle vers sud;2022-05-04;991
670;Pont de Pirmil vers Sud;2022-05-04;477
673;Pont de Pornic vers Sud;2022-05-04;877
675;Pont Haudaudine vers Nord;2022-05-04;963
746;Chemin de halage Tortière vers Sud;2022-05-04;921
945;Magellan vers Ouest;2022-05-04;969
949;avenue de la Libération vers Sud;2022-05-04;261
988;Kennedy vers Est;2022-05-04;1062
1054;;2022-05-04;0
8673;;2022-05-04;565
9998;;2022-05-04;795
666;Pont Audibert vers Sud;2022-05-04;282
668;De Gaulle vers sud;2022-05-03;1111
670;Pont de Pirmil vers Sud;2022-05-03;498
994;Ceineray vers Est;2022-05-03;899
996;Van Iseghem vers Nord;2022-05-03;1267
9999;;2022-05-03;434
745;Calvaire vers Ouest;2022-05-03;205
943;Magellan vers Ouest;2022-05-03;285
946;Magellan vers Est;2022-05-03;1175
989;Kennedy vers Ouest;2022-05-03;1626
997;Van Iseghem vers Sud;2022-05-03;1183
9672;;2022-05-03;1252
727;Pont Tabarly vers Nord;2022-05-03;657
743;Philippot vers ouest;2022-05-03;1682
