Numéro de boucle;Libellé;Jour;Total
949;avenue de la Libération vers Sud;2021-11-20;109
977;3 Continents vers Nord;2021-11-20;345
988;Kennedy vers Est;2021-11-20;267
989;Kennedy vers Ouest;2021-11-20;542
9998;;2021-11-20;308
788;50 Otages Vers Nord;2021-11-20;1199
669;De Gaulle sortie Clémenceau vers Nord;2021-11-20;307
742;Philippot vers Est;2021-11-20;815
746;Chemin de halage Tortière vers Sud;2021-11-20;300
675;Pont Haudaudine vers Nord;2021-11-20;481
9999;;2021-11-20;291
947;Bd Malakoff vers Ouest;2021-11-20;104
670;Pont de Pirmil vers Sud;2021-11-20;216
681;Stalingrad vers est;2021-11-20;306
881;Madeleine vers Sud;2021-11-20;1281
946;Magellan vers Est;2021-11-20;396
959;Sorinières Vers Sud;2021-11-20;28
1041;;2021-11-20;67
674;Pont Haudaudine vers Sud;2021-11-20;224
664;Bonduelle vers sud;2021-11-20;450
665;Bonduelle vers Nord;2021-11-20;428
785;50 Otages Vers Sud;2021-11-20;1766
787;50 Otages Vers Sud;2021-11-20;1186
943;Magellan vers Ouest;2021-11-20;91
948;Bd Malakoff vers Est;2021-11-20;137
986;Tremie vers Ouest;2021-11-20;132
1042;;2021-11-20;85
676;Pont Willy Brandt vers Beaulieu;2021-11-20;17
667;Entrée pont Audibert vers Nord;2021-11-20;1545
668;De Gaulle vers sud;2021-11-20;311
672;Pont de Pornic vers Nord;2021-11-20;423
679;Bd Malakoff vers Gare Sud;2021-11-20;28
682;pont Anne de Bretagne vers Sud;2021-11-20;615
683;pont Anne de Bretagne vers Nord;2021-11-20;393
747;Chemin de halage Tortière vers Nord;2021-11-20;305
890;Pont de Pirmil vers Sud;2021-11-20;1399
945;Magellan vers Ouest;2021-11-20;314
979;3 Continents vers Sud;2021-11-20;247
981;Pont Tabarly vers Nord;2021-11-20;46
994;Ceineray vers Est;2021-11-20;371
997;Van Iseghem vers Sud;2021-11-20;247
666;Pont Audibert vers Sud;2021-11-20;130
727;Pont Tabarly vers Nord;2021-11-20;138
744;Calvaire vers Est;2021-11-20;521
745;Calvaire vers Ouest;2021-11-20;95
987;Tremie vers Est;2021-11-20;88
950;avenue de la Libération vers Nord;2021-11-20;237
960;Sorinières Vers Nord;2021-11-20;20
725;Pont Tabarly vers Sud;2021-11-20;154
743;Philippot vers ouest;2021-11-20;750
786;50 Otages Vers Nord;2021-11-20;1735
880;Madeleine vers Nord;2021-11-20;1192
847;Entrée pont Audibert vers Sud;2021-11-20;1476
677;Pont Willy Brandt vers Malakoff;2021-11-20;160
680;Stalingrad vers ouest;2021-11-20;302
980;Pont Tabarly vers Sud;2021-11-20;16
995;Ceineray vers Ouest;2021-11-20;515
996;Van Iseghem vers Nord;2021-11-20;271
945;Magellan vers Ouest;2021-11-19;703
980;Pont Tabarly vers Sud;2021-11-19;40
986;Tremie vers Ouest;2021-11-19;306
994;Ceineray vers Est;2021-11-19;701
996;Van Iseghem vers Nord;2021-11-19;510
9998;;2021-11-19;451
670;Pont de Pirmil vers Sud;2021-11-19;338
742;Philippot vers Est;2021-11-19;1528
743;Philippot vers ouest;2021-11-19;1328
669;De Gaulle sortie Clémenceau vers Nord;2021-11-19;809
677;Pont Willy Brandt vers Malakoff;2021-11-19;497
682;pont Anne de Bretagne vers Sud;2021-11-19;1382
747;Chemin de halage Tortière vers Nord;2021-11-19;728
786;50 Otages Vers Nord;2021-11-19;3117
946;Magellan vers Est;2021-11-19;883
977;3 Continents vers Nord;2021-11-19;549
989;Kennedy vers Ouest;2021-11-19;1085
666;Pont Audibert vers Sud;2021-11-19;256
668;De Gaulle vers sud;2021-11-19;796
672;Pont de Pornic vers Nord;2021-11-19;1291
675;Pont Haudaudine vers Nord;2021-11-19;827
680;Stalingrad vers ouest;2021-11-19;599
683;pont Anne de Bretagne vers Nord;2021-11-19;818
746;Chemin de halage Tortière vers Sud;2021-11-19;729
944;Magellan vers Est;2021-11-19;268
949;avenue de la Libération vers Sud;2021-11-19;214
960;Sorinières Vers Nord;2021-11-19;60
979;3 Continents vers Sud;2021-11-19;456
1041;;2021-11-19;208
674;Pont Haudaudine vers Sud;2021-11-19;383
676;Pont Willy Brandt vers Beaulieu;2021-11-19;53
664;Bonduelle vers sud;2021-11-19;1045
667;Entrée pont Audibert vers Nord;2021-11-19;2850
744;Calvaire vers Est;2021-11-19;785
788;50 Otages Vers Nord;2021-11-19;2011
679;Bd Malakoff vers Gare Sud;2021-11-19;70
681;Stalingrad vers est;2021-11-19;590
950;avenue de la Libération vers Nord;2021-11-19;572
745;Calvaire vers Ouest;2021-11-19;133
785;50 Otages Vers Sud;2021-11-19;3127
787;50 Otages Vers Sud;2021-11-19;2063
943;Magellan vers Ouest;2021-11-19;216
947;Bd Malakoff vers Ouest;2021-11-19;277
847;Entrée pont Audibert vers Sud;2021-11-19;2610
881;Madeleine vers Sud;2021-11-19;2182
948;Bd Malakoff vers Est;2021-11-19;305
987;Tremie vers Est;2021-11-19;211
988;Kennedy vers Est;2021-11-19;717
995;Ceineray vers Ouest;2021-11-19;1021
997;Van Iseghem vers Sud;2021-11-19;503
665;Bonduelle vers Nord;2021-11-19;957
727;Pont Tabarly vers Nord;2021-11-19;402
9999;;2021-11-19;374
880;Madeleine vers Nord;2021-11-19;2108
725;Pont Tabarly vers Sud;2021-11-19;452
890;Pont de Pirmil vers Sud;2021-11-19;2797
959;Sorinières Vers Sud;2021-11-19;83
981;Pont Tabarly vers Nord;2021-11-19;95
1042;;2021-11-19;202
948;Bd Malakoff vers Est;2021-11-18;367
674;Pont Haudaudine vers Sud;2021-11-18;453
676;Pont Willy Brandt vers Beaulieu;2021-11-18;60
788;50 Otages Vers Nord;2021-11-18;2256
664;Bonduelle vers sud;2021-11-18;1259
667;Entrée pont Audibert vers Nord;2021-11-18;3291
668;De Gaulle vers sud;2021-11-18;950
675;Pont Haudaudine vers Nord;2021-11-18;897
744;Calvaire vers Est;2021-11-18;858
745;Calvaire vers Ouest;2021-11-18;131
746;Chemin de halage Tortière vers Sud;2021-11-18;893
683;pont Anne de Bretagne vers Nord;2021-11-18;888
880;Madeleine vers Nord;2021-11-18;2298
960;Sorinières Vers Nord;2021-11-18;51
1042;;2021-11-18;275
743;Philippot vers ouest;2021-11-18;1542
881;Madeleine vers Sud;2021-11-18;2436
944;Magellan vers Est;2021-11-18;327
945;Magellan vers Ouest;2021-11-18;862
946;Magellan vers Est;2021-11-18;1111
947;Bd Malakoff vers Ouest;2021-11-18;377
987;Tremie vers Est;2021-11-18;201
1041;;2021-11-18;282
9998;;2021-11-18;432
786;50 Otages Vers Nord;2021-11-18;3593
980;Pont Tabarly vers Sud;2021-11-18;46
665;Bonduelle vers Nord;2021-11-18;1149
669;De Gaulle sortie Clémenceau vers Nord;2021-11-18;973
672;Pont de Pornic vers Nord;2021-11-18;1474
727;Pont Tabarly vers Nord;2021-11-18;509
787;50 Otages Vers Sud;2021-11-18;2239
890;Pont de Pirmil vers Sud;2021-11-18;3400
959;Sorinières Vers Sud;2021-11-18;88
666;Pont Audibert vers Sud;2021-11-18;288
670;Pont de Pirmil vers Sud;2021-11-18;405
677;Pont Willy Brandt vers Malakoff;2021-11-18;633
679;Bd Malakoff vers Gare Sud;2021-11-18;86
950;avenue de la Libération vers Nord;2021-11-18;594
977;3 Continents vers Nord;2021-11-18;675
847;Entrée pont Audibert vers Sud;2021-11-18;2988
943;Magellan vers Ouest;2021-11-18;233
997;Van Iseghem vers Sud;2021-11-18;626
681;Stalingrad vers est;2021-11-18;603
785;50 Otages Vers Sud;2021-11-18;3530
9999;;2021-11-18;358
680;Stalingrad vers ouest;2021-11-18;633
682;pont Anne de Bretagne vers Sud;2021-11-18;1625
725;Pont Tabarly vers Sud;2021-11-18;524
742;Philippot vers Est;2021-11-18;1867
747;Chemin de halage Tortière vers Nord;2021-11-18;896
949;avenue de la Libération vers Sud;2021-11-18;228
979;3 Continents vers Sud;2021-11-18;539
981;Pont Tabarly vers Nord;2021-11-18;111
986;Tremie vers Ouest;2021-11-18;331
988;Kennedy vers Est;2021-11-18;787
989;Kennedy vers Ouest;2021-11-18;1171
994;Ceineray vers Est;2021-11-18;778
995;Ceineray vers Ouest;2021-11-18;1191
996;Van Iseghem vers Nord;2021-11-18;525
948;Bd Malakoff vers Est;2021-11-17;354
994;Ceineray vers Est;2021-11-17;735
880;Madeleine vers Nord;2021-11-17;2173
675;Pont Haudaudine vers Nord;2021-11-17;886
677;Pont Willy Brandt vers Malakoff;2021-11-17;572
743;Philippot vers ouest;2021-11-17;1505
727;Pont Tabarly vers Nord;2021-11-17;461
787;50 Otages Vers Sud;2021-11-17;2048
890;Pont de Pirmil vers Sud;2021-11-17;3002
960;Sorinières Vers Nord;2021-11-17;60
980;Pont Tabarly vers Sud;2021-11-17;49
986;Tremie vers Ouest;2021-11-17;281
666;Pont Audibert vers Sud;2021-11-17;316
669;De Gaulle sortie Clémenceau vers Nord;2021-11-17;901
747;Chemin de halage Tortière vers Nord;2021-11-17;833
977;3 Continents vers Nord;2021-11-17;1124
987;Tremie vers Est;2021-11-17;225
995;Ceineray vers Ouest;2021-11-17;1134
1041;;2021-11-17;264
9999;;2021-11-17;339
665;Bonduelle vers Nord;2021-11-17;1000
668;De Gaulle vers sud;2021-11-17;808
670;Pont de Pirmil vers Sud;2021-11-17;375
680;Stalingrad vers ouest;2021-11-17;540
682;pont Anne de Bretagne vers Sud;2021-11-17;1521
725;Pont Tabarly vers Sud;2021-11-17;511
744;Calvaire vers Est;2021-11-17;764
949;avenue de la Libération vers Sud;2021-11-17;242
959;Sorinières Vers Sud;2021-11-17;81
9998;;2021-11-17;553
664;Bonduelle vers sud;2021-11-17;1112
681;Stalingrad vers est;2021-11-17;588
742;Philippot vers Est;2021-11-17;1782
745;Calvaire vers Ouest;2021-11-17;135
746;Chemin de halage Tortière vers Sud;2021-11-17;810
946;Magellan vers Est;2021-11-17;978
950;avenue de la Libération vers Nord;2021-11-17;539
981;Pont Tabarly vers Nord;2021-11-17;123
679;Bd Malakoff vers Gare Sud;2021-11-17;59
944;Magellan vers Est;2021-11-17;286
945;Magellan vers Ouest;2021-11-17;742
947;Bd Malakoff vers Ouest;2021-11-17;315
989;Kennedy vers Ouest;2021-11-17;1082
788;50 Otages Vers Nord;2021-11-17;2007
847;Entrée pont Audibert vers Sud;2021-11-17;2741
943;Magellan vers Ouest;2021-11-17;219
996;Van Iseghem vers Nord;2021-11-17;516
997;Van Iseghem vers Sud;2021-11-17;610
1042;;2021-11-17;227
672;Pont de Pornic vers Nord;2021-11-17;1207
683;pont Anne de Bretagne vers Nord;2021-11-17;819
785;50 Otages Vers Sud;2021-11-17;3158
786;50 Otages Vers Nord;2021-11-17;3245
674;Pont Haudaudine vers Sud;2021-11-17;447
676;Pont Willy Brandt vers Beaulieu;2021-11-17;46
667;Entrée pont Audibert vers Nord;2021-11-17;3010
881;Madeleine vers Sud;2021-11-17;2326
979;3 Continents vers Sud;2021-11-17;825
988;Kennedy vers Est;2021-11-17;819
960;Sorinières Vers Nord;2021-11-16;56
996;Van Iseghem vers Nord;2021-11-16;547
997;Van Iseghem vers Sud;2021-11-16;603
9998;;2021-11-16;573
676;Pont Willy Brandt vers Beaulieu;2021-11-16;78
788;50 Otages Vers Nord;2021-11-16;2208
847;Entrée pont Audibert vers Sud;2021-11-16;2836
742;Philippot vers Est;2021-11-16;1576
743;Philippot vers ouest;2021-11-16;1467
666;Pont Audibert vers Sud;2021-11-16;306
672;Pont de Pornic vers Nord;2021-11-16;1465
682;pont Anne de Bretagne vers Sud;2021-11-16;1492
745;Calvaire vers Ouest;2021-11-16;144
945;Magellan vers Ouest;2021-11-16;760
959;Sorinières Vers Sud;2021-11-16;92
995;Ceineray vers Ouest;2021-11-16;1195
665;Bonduelle vers Nord;2021-11-16;1140
667;Entrée pont Audibert vers Nord;2021-11-16;3114
669;De Gaulle sortie Clémenceau vers Nord;2021-11-16;1018
681;Stalingrad vers est;2021-11-16;635
725;Pont Tabarly vers Sud;2021-11-16;548
744;Calvaire vers Est;2021-11-16;785
747;Chemin de halage Tortière vers Nord;2021-11-16;924
786;50 Otages Vers Nord;2021-11-16;3391
980;Pont Tabarly vers Sud;2021-11-16;42
670;Pont de Pirmil vers Sud;2021-11-16;393
677;Pont Willy Brandt vers Malakoff;2021-11-16;317
683;pont Anne de Bretagne vers Nord;2021-11-16;817
787;50 Otages Vers Sud;2021-11-16;2172
947;Bd Malakoff vers Ouest;2021-11-16;358
948;Bd Malakoff vers Est;2021-11-16;392
989;Kennedy vers Ouest;2021-11-16;1214
9999;;2021-11-16;396
668;De Gaulle vers sud;2021-11-16;1030
679;Bd Malakoff vers Gare Sud;2021-11-16;87
680;Stalingrad vers ouest;2021-11-16;637
746;Chemin de halage Tortière vers Sud;2021-11-16;949
944;Magellan vers Est;2021-11-16;316
979;3 Continents vers Sud;2021-11-16;1758
727;Pont Tabarly vers Nord;2021-11-16;506
943;Magellan vers Ouest;2021-11-16;255
977;3 Continents vers Nord;2021-11-16;477
981;Pont Tabarly vers Nord;2021-11-16;128
1042;;2021-11-16;260
880;Madeleine vers Nord;2021-11-16;2252
949;avenue de la Libération vers Sud;2021-11-16;230
986;Tremie vers Ouest;2021-11-16;317
987;Tremie vers Est;2021-11-16;227
988;Kennedy vers Est;2021-11-16;823
664;Bonduelle vers sud;2021-11-16;1314
785;50 Otages Vers Sud;2021-11-16;3436
674;Pont Haudaudine vers Sud;2021-11-16;315
675;Pont Haudaudine vers Nord;2021-11-16;873
881;Madeleine vers Sud;2021-11-16;2373
890;Pont de Pirmil vers Sud;2021-11-16;3087
946;Magellan vers Est;2021-11-16;985
950;avenue de la Libération vers Nord;2021-11-16;608
994;Ceineray vers Est;2021-11-16;819
1041;;2021-11-16;333
949;avenue de la Libération vers Sud;2021-11-15;222
960;Sorinières Vers Nord;2021-11-15;54
674;Pont Haudaudine vers Sud;2021-11-15;402
788;50 Otages Vers Nord;2021-11-15;1894
668;De Gaulle vers sud;2021-11-15;894
675;Pont Haudaudine vers Nord;2021-11-15;802
681;Stalingrad vers est;2021-11-15;552
747;Chemin de halage Tortière vers Nord;2021-11-15;824
677;Pont Willy Brandt vers Malakoff;2021-11-15;19
742;Philippot vers Est;2021-11-15;1362
959;Sorinières Vers Sud;2021-11-15;92
981;Pont Tabarly vers Nord;2021-11-15;96
683;pont Anne de Bretagne vers Nord;2021-11-15;762
743;Philippot vers ouest;2021-11-15;1307
744;Calvaire vers Est;2021-11-15;647
746;Chemin de halage Tortière vers Sud;2021-11-15;804
786;50 Otages Vers Nord;2021-11-15;2971
979;3 Continents vers Sud;2021-11-15;1384
9999;;2021-11-15;359
676;Pont Willy Brandt vers Beaulieu;2021-11-15;62
664;Bonduelle vers sud;2021-11-15;1115
666;Pont Audibert vers Sud;2021-11-15;241
669;De Gaulle sortie Clémenceau vers Nord;2021-11-15;869
727;Pont Tabarly vers Nord;2021-11-15;478
745;Calvaire vers Ouest;2021-11-15;126
944;Magellan vers Est;2021-11-15;313
950;avenue de la Libération vers Nord;2021-11-15;554
994;Ceineray vers Est;2021-11-15;668
1041;;2021-11-15;263
665;Bonduelle vers Nord;2021-11-15;969
787;50 Otages Vers Sud;2021-11-15;1915
890;Pont de Pirmil vers Sud;2021-11-15;2862
943;Magellan vers Ouest;2021-11-15;231
988;Kennedy vers Est;2021-11-15;757
667;Entrée pont Audibert vers Nord;2021-11-15;2826
670;Pont de Pirmil vers Sud;2021-11-15;352
679;Bd Malakoff vers Gare Sud;2021-11-15;81
725;Pont Tabarly vers Sud;2021-11-15;524
785;50 Otages Vers Sud;2021-11-15;2946
881;Madeleine vers Sud;2021-11-15;2099
946;Magellan vers Est;2021-11-15;920
947;Bd Malakoff vers Ouest;2021-11-15;334
986;Tremie vers Ouest;2021-11-15;281
997;Van Iseghem vers Sud;2021-11-15;545
880;Madeleine vers Nord;2021-11-15;1973
948;Bd Malakoff vers Est;2021-11-15;336
995;Ceineray vers Ouest;2021-11-15;1031
996;Van Iseghem vers Nord;2021-11-15;488
1042;;2021-11-15;253
682;pont Anne de Bretagne vers Sud;2021-11-15;1343
847;Entrée pont Audibert vers Sud;2021-11-15;2596
9998;;2021-11-15;449
672;Pont de Pornic vers Nord;2021-11-15;1379
680;Stalingrad vers ouest;2021-11-15;559
945;Magellan vers Ouest;2021-11-15;783
977;3 Continents vers Nord;2021-11-15;66
980;Pont Tabarly vers Sud;2021-11-15;44
987;Tremie vers Est;2021-11-15;210
989;Kennedy vers Ouest;2021-11-15;1114
944;Magellan vers Est;2021-11-14;137
949;avenue de la Libération vers Sud;2021-11-14;86
986;Tremie vers Ouest;2021-11-14;124
674;Pont Haudaudine vers Sud;2021-11-14;110
664;Bonduelle vers sud;2021-11-14;393
668;De Gaulle vers sud;2021-11-14;275
670;Pont de Pirmil vers Sud;2021-11-14;208
679;Bd Malakoff vers Gare Sud;2021-11-14;29
787;50 Otages Vers Sud;2021-11-14;933
667;Entrée pont Audibert vers Nord;2021-11-14;1018
669;De Gaulle sortie Clémenceau vers Nord;2021-11-14;240
680;Stalingrad vers ouest;2021-11-14;322
742;Philippot vers Est;2021-11-14;466
676;Pont Willy Brandt vers Beaulieu;2021-11-14;30
890;Pont de Pirmil vers Sud;2021-11-14;1192
947;Bd Malakoff vers Ouest;2021-11-14;167
981;Pont Tabarly vers Nord;2021-11-14;96
987;Tremie vers Est;2021-11-14;62
665;Bonduelle vers Nord;2021-11-14;317
683;pont Anne de Bretagne vers Nord;2021-11-14;390
943;Magellan vers Ouest;2021-11-14;98
950;avenue de la Libération vers Nord;2021-11-14;182
959;Sorinières Vers Sud;2021-11-14;30
977;3 Continents vers Nord;2021-11-14;84
1041;;2021-11-14;69
725;Pont Tabarly vers Sud;2021-11-14;159
727;Pont Tabarly vers Nord;2021-11-14;164
747;Chemin de halage Tortière vers Nord;2021-11-14;336
946;Magellan vers Est;2021-11-14;328
9998;;2021-11-14;271
743;Philippot vers ouest;2021-11-14;581
746;Chemin de halage Tortière vers Sud;2021-11-14;309
945;Magellan vers Ouest;2021-11-14;286
948;Bd Malakoff vers Est;2021-11-14;165
960;Sorinières Vers Nord;2021-11-14;19
979;3 Continents vers Sud;2021-11-14;774
980;Pont Tabarly vers Sud;2021-11-14;37
988;Kennedy vers Est;2021-11-14;257
681;Stalingrad vers est;2021-11-14;301
786;50 Otages Vers Nord;2021-11-14;1315
989;Kennedy vers Ouest;2021-11-14;390
996;Van Iseghem vers Nord;2021-11-14;317
997;Van Iseghem vers Sud;2021-11-14;278
9999;;2021-11-14;189
788;50 Otages Vers Nord;2021-11-14;1077
881;Madeleine vers Sud;2021-11-14;860
995;Ceineray vers Ouest;2021-11-14;334
666;Pont Audibert vers Sud;2021-11-14;176
682;pont Anne de Bretagne vers Sud;2021-11-14;599
847;Entrée pont Audibert vers Sud;2021-11-14;1140
880;Madeleine vers Nord;2021-11-14;913
672;Pont de Pornic vers Nord;2021-11-14;384
675;Pont Haudaudine vers Nord;2021-11-14;294
677;Pont Willy Brandt vers Malakoff;2021-11-14;19
744;Calvaire vers Est;2021-11-14;358
745;Calvaire vers Ouest;2021-11-14;44
785;50 Otages Vers Sud;2021-11-14;1390
994;Ceineray vers Est;2021-11-14;295
1042;;2021-11-14;98
944;Magellan vers Est;2021-11-13;126
986;Tremie vers Ouest;2021-11-13;139
997;Van Iseghem vers Sud;2021-11-13;314
676;Pont Willy Brandt vers Beaulieu;2021-11-13;30
664;Bonduelle vers sud;2021-11-13;401
743;Philippot vers ouest;2021-11-13;818
786;50 Otages Vers Nord;2021-11-13;1688
667;Entrée pont Audibert vers Nord;2021-11-13;1448
669;De Gaulle sortie Clémenceau vers Nord;2021-11-13;284
785;50 Otages Vers Sud;2021-11-13;1793
881;Madeleine vers Sud;2021-11-13;1149
943;Magellan vers Ouest;2021-11-13;99
947;Bd Malakoff vers Ouest;2021-11-13;145
949;avenue de la Libération vers Sud;2021-11-13;148
987;Tremie vers Est;2021-11-13;90
880;Madeleine vers Nord;2021-11-13;1068
665;Bonduelle vers Nord;2021-11-13;383
670;Pont de Pirmil vers Sud;2021-11-13;218
677;Pont Willy Brandt vers Malakoff;2021-11-13;22
681;Stalingrad vers est;2021-11-13;323
744;Calvaire vers Est;2021-11-13;520
989;Kennedy vers Ouest;2021-11-13;479
1042;;2021-11-13;50
674;Pont Haudaudine vers Sud;2021-11-13;159
675;Pont Haudaudine vers Nord;2021-11-13;464
890;Pont de Pirmil vers Sud;2021-11-13;1317
977;3 Continents vers Nord;2021-11-13;78
980;Pont Tabarly vers Sud;2021-11-13;24
988;Kennedy vers Est;2021-11-13;291
9998;;2021-11-13;264
679;Bd Malakoff vers Gare Sud;2021-11-13;31
787;50 Otages Vers Sud;2021-11-13;1221
960;Sorinières Vers Nord;2021-11-13;22
979;3 Continents vers Sud;2021-11-13;1092
994;Ceineray vers Est;2021-11-13;415
668;De Gaulle vers sud;2021-11-13;274
680;Stalingrad vers ouest;2021-11-13;351
725;Pont Tabarly vers Sud;2021-11-13;167
742;Philippot vers Est;2021-11-13;542
945;Magellan vers Ouest;2021-11-13;293
948;Bd Malakoff vers Est;2021-11-13;137
959;Sorinières Vers Sud;2021-11-13;33
1041;;2021-11-13;49
946;Magellan vers Est;2021-11-13;400
950;avenue de la Libération vers Nord;2021-11-13;251
981;Pont Tabarly vers Nord;2021-11-13;63
995;Ceineray vers Ouest;2021-11-13;533
996;Van Iseghem vers Nord;2021-11-13;277
672;Pont de Pornic vers Nord;2021-11-13;456
683;pont Anne de Bretagne vers Nord;2021-11-13;374
727;Pont Tabarly vers Nord;2021-11-13;157
745;Calvaire vers Ouest;2021-11-13;94
747;Chemin de halage Tortière vers Nord;2021-11-13;306
9999;;2021-11-13;225
788;50 Otages Vers Nord;2021-11-13;1211
847;Entrée pont Audibert vers Sud;2021-11-13;1356
666;Pont Audibert vers Sud;2021-11-13;133
682;pont Anne de Bretagne vers Sud;2021-11-13;640
746;Chemin de halage Tortière vers Sud;2021-11-13;316
945;Magellan vers Ouest;2021-11-12;434
977;3 Continents vers Nord;2021-11-12;81
981;Pont Tabarly vers Nord;2021-11-12;94
986;Tremie vers Ouest;2021-11-12;224
988;Kennedy vers Est;2021-11-12;465
996;Van Iseghem vers Nord;2021-11-12;392
997;Van Iseghem vers Sud;2021-11-12;440
9998;;2021-11-12;372
742;Philippot vers Est;2021-11-12;946
669;De Gaulle sortie Clémenceau vers Nord;2021-11-12;515
670;Pont de Pirmil vers Sud;2021-11-12;251
680;Stalingrad vers ouest;2021-11-12;431
747;Chemin de halage Tortière vers Nord;2021-11-12;546
787;50 Otages Vers Sud;2021-11-12;1567
676;Pont Willy Brandt vers Beaulieu;2021-11-12;49
881;Madeleine vers Sud;2021-11-12;1817
948;Bd Malakoff vers Est;2021-11-12;248
989;Kennedy vers Ouest;2021-11-12;735
995;Ceineray vers Ouest;2021-11-12;737
1041;;2021-11-12;142
847;Entrée pont Audibert vers Sud;2021-11-12;2028
725;Pont Tabarly vers Sud;2021-11-12;298
786;50 Otages Vers Nord;2021-11-12;2351
950;avenue de la Libération vers Nord;2021-11-12;425
959;Sorinières Vers Sud;2021-11-12;67
987;Tremie vers Est;2021-11-12;167
674;Pont Haudaudine vers Sud;2021-11-12;209
666;Pont Audibert vers Sud;2021-11-12;215
681;Stalingrad vers est;2021-11-12;402
949;avenue de la Libération vers Sud;2021-11-12;167
980;Pont Tabarly vers Sud;2021-11-12;34
1042;;2021-11-12;138
880;Madeleine vers Nord;2021-11-12;1612
743;Philippot vers ouest;2021-11-12;999
785;50 Otages Vers Sud;2021-11-12;2355
943;Magellan vers Ouest;2021-11-12;134
675;Pont Haudaudine vers Nord;2021-11-12;626
683;pont Anne de Bretagne vers Nord;2021-11-12;566
744;Calvaire vers Est;2021-11-12;664
890;Pont de Pirmil vers Sud;2021-11-12;2065
946;Magellan vers Est;2021-11-12;553
960;Sorinières Vers Nord;2021-11-12;31
9999;;2021-11-12;268
947;Bd Malakoff vers Ouest;2021-11-12;209
979;3 Continents vers Sud;2021-11-12;1170
994;Ceineray vers Est;2021-11-12;519
672;Pont de Pornic vers Nord;2021-11-12;857
677;Pont Willy Brandt vers Malakoff;2021-11-12;15
727;Pont Tabarly vers Nord;2021-11-12;262
745;Calvaire vers Ouest;2021-11-12;104
746;Chemin de halage Tortière vers Sud;2021-11-12;541
788;50 Otages Vers Nord;2021-11-12;1603
664;Bonduelle vers sud;2021-11-12;691
665;Bonduelle vers Nord;2021-11-12;595
667;Entrée pont Audibert vers Nord;2021-11-12;2239
668;De Gaulle vers sud;2021-11-12;523
679;Bd Malakoff vers Gare Sud;2021-11-12;68
682;pont Anne de Bretagne vers Sud;2021-11-12;938
944;Magellan vers Est;2021-11-12;194
944;Magellan vers Est;2021-11-11;133
948;Bd Malakoff vers Est;2021-11-11;235
959;Sorinières Vers Sud;2021-11-11;23
977;3 Continents vers Nord;2021-11-11;66
788;50 Otages Vers Nord;2021-11-11;1250
665;Bonduelle vers Nord;2021-11-11;366
847;Entrée pont Audibert vers Sud;2021-11-11;1389
947;Bd Malakoff vers Ouest;2021-11-11;194
950;avenue de la Libération vers Nord;2021-11-11;187
981;Pont Tabarly vers Nord;2021-11-11;90
988;Kennedy vers Est;2021-11-11;258
995;Ceineray vers Ouest;2021-11-11;469
664;Bonduelle vers sud;2021-11-11;391
682;pont Anne de Bretagne vers Sud;2021-11-11;773
725;Pont Tabarly vers Sud;2021-11-11;184
742;Philippot vers Est;2021-11-11;712
744;Calvaire vers Est;2021-11-11;430
945;Magellan vers Ouest;2021-11-11;279
666;Pont Audibert vers Sud;2021-11-11;116
667;Entrée pont Audibert vers Nord;2021-11-11;1335
670;Pont de Pirmil vers Sud;2021-11-11;284
743;Philippot vers ouest;2021-11-11;674
890;Pont de Pirmil vers Sud;2021-11-11;1392
943;Magellan vers Ouest;2021-11-11;107
987;Tremie vers Est;2021-11-11;57
994;Ceineray vers Est;2021-11-11;374
1042;;2021-11-11;86
880;Madeleine vers Nord;2021-11-11;1065
9998;;2021-11-11;246
677;Pont Willy Brandt vers Malakoff;2021-11-11;16
681;Stalingrad vers est;2021-11-11;352
989;Kennedy vers Ouest;2021-11-11;493
1041;;2021-11-11;65
672;Pont de Pornic vers Nord;2021-11-11;456
675;Pont Haudaudine vers Nord;2021-11-11;379
683;pont Anne de Bretagne vers Nord;2021-11-11;442
785;50 Otages Vers Sud;2021-11-11;1651
946;Magellan vers Est;2021-11-11;373
980;Pont Tabarly vers Sud;2021-11-11;57
676;Pont Willy Brandt vers Beaulieu;2021-11-11;45
949;avenue de la Libération vers Sud;2021-11-11;110
996;Van Iseghem vers Nord;2021-11-11;308
669;De Gaulle sortie Clémenceau vers Nord;2021-11-11;286
679;Bd Malakoff vers Gare Sud;2021-11-11;34
680;Stalingrad vers ouest;2021-11-11;367
746;Chemin de halage Tortière vers Sud;2021-11-11;336
747;Chemin de halage Tortière vers Nord;2021-11-11;408
786;50 Otages Vers Nord;2021-11-11;1578
787;50 Otages Vers Sud;2021-11-11;1145
9999;;2021-11-11;220
674;Pont Haudaudine vers Sud;2021-11-11;83
668;De Gaulle vers sud;2021-11-11;278
727;Pont Tabarly vers Nord;2021-11-11;246
745;Calvaire vers Ouest;2021-11-11;54
881;Madeleine vers Sud;2021-11-11;1147
960;Sorinières Vers Nord;2021-11-11;16
979;3 Continents vers Sud;2021-11-11;975
986;Tremie vers Ouest;2021-11-11;93
997;Van Iseghem vers Sud;2021-11-11;303
959;Sorinières Vers Sud;2021-11-10;81
960;Sorinières Vers Nord;2021-11-10;51
977;3 Continents vers Nord;2021-11-10;120
980;Pont Tabarly vers Sud;2021-11-10;48
664;Bonduelle vers sud;2021-11-10;1123
